GMAT词汇精选
bestow			/ bi5stEu/  vt.把....赠予;花费;放置,贮藏;
betray			/ bi5trei/  v.背叛,暴露
betrayal		/ bi5treiEl/  n.暴露,背叛
better off		/ /  境况(尤指经济境况)较好
beverage		/ 5bevEridV/  n.饮料
bicentenary		/ baisen5ti:nEri/  n.&a.二百年(的);二百多年纪念的
bid			/ bid/  v.n.出价，喊价
bilateral		/ bai5lAtErEl/  a.双边的
bilingual		/ bai5liNgwEl/  a.(能说)两种语言的
binary			/ 5bainEri/  a.二,双,复;［化］二元的;［数］二进制的
biofeedback		/ 5baiou5fi:dbAk/  n.生物反馈
biota			/ bai5outE/  n. 生物区系
bipartisan		/ /  a.由两党成员组成的;被两党支持的
bipedalism		/ 5baipedElizEm/  n.二足类
birch			/ 5bE:tF/  n.桦,白桦;桦木 vt.用桦条打
bisect			/ bai5sekt/  平分
bizarre		/ bi5zB:/  a.奇异的,古怪的
black hole		/ /  n.［天］黑洞
blackout		/ 5blAkaut/  n.(幕间或剧中)灯暗;临时眩晕;删除;新闻封锁)
bland			/ blAnd/  a.(人)情绪平稳的,(食物)无味的
blast			/ bla:st/  n.一阵儿风;爆炸
bleak			/ bli:k/  a.苍白的,暗淡的;凄凉的;无遮蔽的
blemish		/ 5blemiF/  v.损害,玷污 n.瑕疵,缺点
blind spot		/ /  n.［物］盲点,［无］静区
blob			/ blRb/  n.(半流质的)粘乎乎的一团,vt.用斑点弄污
blockade		/ blR5keid/  vt.n.封锁, 闭塞
blot			/ blRt/  n.墨迹,污迹;不雅观的事物
blurry			/ 5blE:ri/  a. 模糊的，难辩认的
bog			/ bRg/  n.泥塘,沼泽; v.陷入泥沼(使)停顿
bolster		/ 5boulstE/  n.枕垫, v.支持,鼓励
bombardment		/ bRm5bB:dmEnt/  n.炮轰
bona fides		/ /  n.［拉］诚意,善意
bondage		/ 5bRndidV/  n.奴役,束缚  in bondage to 被....所奴役
bookkeeping		/ 5bukki:piN/  n.簿记
boom			/ bu:m/  v.突然增加,迅速发展;兴旺,出名
boost			/ bu:st/  vt. 提高;促进,支援;(用广告)吹捧;
boreal			/ 5bR:riEl/  a.北的,北方的,北风的;北半球北部山区的
bottleneck		/ 5bRtlnek/  n.瓶颈口,(喻)交通易阻塞的狭口;妨碍生产流程的一环
bound			/ baund/  a.被束缚的;密切关联的;必定的(be bound to)
bountiful		/ 5bauntiful/  a.慷慨的;丰裕的,充足的
bounty			/ 5baunti/  n.慷慨,恩惠;奖励金,补助金
bouquet		/ 5bu(:)kei/  n.花束
bout			/ baut/  n.一回,一场,一阵;回合,较量,比赛
bower			/ 5bauE/  n.凉亭,树荫处;村舍,精致的居处;卧室;
brandling		/ 5brAndliN/  n.(作钓饵用的)一种红纹小蚯蚓
brazen			/ 5breizn/  a.无耻的,厚脸皮
breakthrough		/ 5breikWru:/  n.突破
brevity		/ 5breviti/  n.简短,简洁
brewery		/ 5bru:Eri/  n.啤酒厂,酿酒厂
bringabout		/ /  v.产生,导致
briny			/ 5braini/  a.盐水的,很咸的; 海水的
broccoli		/ 5brRkEli/  n.硬花球花椰菜,花茎甘蓝
brochure		/ brou5FuE/  n.小册子
brokerage		/ 5broukEridV/  n.经纪业,中间人业务;付给经纪人的经手费, 佣金,回扣
bronze			/ brRnz/  n.青铜
browse			/ brauz/  v.n.吃嫩叶或草,浏览
brutal			/ 5bru:tl/  a.残忍的,严酷的
bubonic		/ bju:5bRnik/  a.腹股沟腺炎的
budget			/ 5bQdVit/  n.预算
budworm		/ 5bQdwE:m/  n.芽虫
buffer			/ 5bQfE/  n.缓冲器;缓冲的人物;［化］缓冲剂
bugbear		/ /  n.使人恐惧的东西，妖怪
bulge			/ bQldV/  v.n.膨胀,突出
bumblebee		/ 5bQmblbi:/  n.(动)野蜂,大蜂
bummer			/ 5bQmE/  n.懒汉,游手好闲的人
bunch			/ bQntF/  n.(一)球,束,串; v.捆成一串
buoyant		/ 5bRiEnt/  a.易浮的,快乐的
bureaucrat		/ 5bju:rEkrAt/  n.官僚
burgeon		/ 5bE:dVEn/  v.迅速成长,发展
burglarize		/ 5bE:glEraiz/  v.进行夜盗
burrow			/ 5bQrEu/  n.兔子等所掘的地洞 v.挖洞
bust			/ bQst/  n.半身塑像 vt.使爆裂; 使破产,使降级
bustle			/ 5bQsl/  v.喧闹,奔忙,活跃
buttress		/ 5bQtris/  v.支持, n.扶墙,拱壁
bylaw			/ /  n.地方法规
cabin			/ 5kAbin/  n.小屋(简陋的);船舱,机舱; v. 住在小屋里
cache			/ kAF/  n.土窖,藏物处;贮藏物
calamitous		/ kE5lAmitEs/  a.造成灾祸的
calcium		/ 5kAlsiEm/  n.钙
caliph			/ 5kAlif/  n.哈里发(伊斯兰国家政教合一的领袖称号)
call for		/ /  v.要求
calligraphic		/ kAli5grAfik/  a.书法的,笔迹的
calorie		/ 5kAlEri/  n.卡(热量单位)
campaign		/ kAm5pein/  n.战役;运动;竞选运动
campesino		/ kRmpei5si:nou/  n.农民,农业工人
canary			/ kE5nZEri/  n.金丝雀,女歌星
cancerous		/ 5kAnsErEs/  a.癌的;患癌症的
canon			/ 5kAnEn/  n.经典.真作
canopy			/ 5kAnEpi/  n.蚊帐,华盖
canvas			/ 5kAnvEs/  n.粗帆布; 帐篷;一幅油画(布)
capacity		/ kE5pAsiti/  n.容量
capitalize on		/ /  利用,capitalize on the opponent's mistake利用对手的错误
capricious		/ kE5priFEs/  a.反复无常的,多变的
captious		/ 5kApFEs/  a.吹毛求疵的
captivate		/ 5kAptiveit/  v.迷感,吸引
captivity		/ kAp5tiviti/  n.监禁,被俘,束缚
